SOURCE_SYSTEM,REGION,COUNTRY,Priority_Brand,GMC_Category_Code,GMC_Category_Name,GMC_Subcategory_Code,GMC_Subcategory_Name,GMC_BRAND_CODE,GMC_BRAND_B1,B2_SUBBRAND_CODE2,B2_SUBBRAND2,SOURCE_BRAND_NAME,Source_Brand_Code,Source_Subcategory_Name,Source_Subcategory_Code,Source_Category_Name,Source_Category_Code,Source_Need_State,Mapping_Quality
TSKU (TDP),EMEA,United Kingdom,,C40012,Cold & Cough,C50044,Cough,,,,,Neutrogena Visibly Clear,,Face Care Medicated,,Face Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40012,Cold & Cough,C50067,Head / Decongestants,,,,,Neutrogena Curcuma Clear,,Face Care Regular,,Face Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40045,Facial Moisturizers & Treatments,C50004,Acne Facial Moisturizers,,,,,Neutrogena,,Face Care Medicated,,Face Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40045,Facial Moisturizers & Treatments,C50095,Regular Facial Moisturizers,,,,,Maui Moisture,,Regular Shampoo,,Hair Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40022,Hand Body & Foot Moisturizing,C50066,Hand Moisturizing,,,,,Maui Moisture,,,,Amazon,,Spike SKUs,
TSKU (TDP),EMEA,United Kingdom,,C40015,Digestive Health,C50021,Anti-Diarrheal,,,,,Olygrippal,,Decongestants,,Cough and Cold,,Self Care,
TSKU (TDP),EMEA,United Kingdom,,C40027,Oral treatment,C50086,Oral treatment,,,,,Nizoral,,Medicated Shampoo,,Hair Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40051,Internal Analgesics,C50093,Pediatric Internal Analgesics,,,,,Nicorette,,Patch,,Smoking Cessation,,Self Care,
,,,,,,,,,,,,OGX Fade-Defying,,Conditioner,,Hair Care,,Skin Care,
,,,,,,,,,,,,Neutrogena,,Foot Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Nizoral,,Antifungals,,Antifungals,,Self Care,
,,,,,,,,,,,,Oraldine,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,Neutrogena Clear & Defend,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Johnson's Baby CottonTouch,,Oil,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,OGX Thick & Full,,Regular Shampoo,,Hair Care,,Skin Care,
,,,,,,,,,,,,Aveeno,,Bath,,Adult Body Cleansing,,Skin Care,
,,,,,,,,,,,,Bebe More,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Regaine,,Hair Loss,,Hair Loss,,Skin Care,
,,,,,,,,,,,,Neutrogena,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Listerine Advanced White,,Regular Mouthwash,,Oral Care,,Essential Health,
,,,,,,,,,,,,Terzolin,,Antifungals,,Antifungals,,Self Care,
,,,,,,,,,,,,Listerine Advanced Defence,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,OGX Thick & Full,,Conditioner,,Hair Care,,Skin Care,
,,,,,,,,,,,,Regaine Men,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Listerine Total Care,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Neutrogena Rainbath,,Shower,,Adult Body Cleansing,,Skin Care,
,,,,,,,,,,,,OGX Extra Strength,,Regular Shampoo,,Hair Care,,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno,,Conditioner,,Hair Care,C40056,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno Positively Radiant,,Face Care Regular,,Face Care,C40056,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno Stress Relief,,Shower,,Adult Body Cleansing,C40056,Skin Care,
,,,,,,,,,,,,Piz Buin Tan And Protect,,Sunless Tanners,,Sun Care,,Skin Care,
,,,,,,,,,,,,Le Petit Marseillais,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,OGX Ever Straight,,Conditioner,,Hair Care,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,OGX,,Conditioner,,Hair Care,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Listerine Cavity Protection,,,,Oral Care,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Carefree,,Liners,,FemCare,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno,,Regular Shampoo,,Hair Care,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Johnson's Baby,,Hair Care,,Baby Toiletries,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno Positively Nourishing,,Shower,,Adult Body Cleansing,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Kompensan,,Acid Relief,,Digestive Health,C40008,Self Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Microlax,,Laxatives,,Digestive Health,C40008,Self Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Carefree Cotton,,Liners,,FemCare,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Reactine,,Allergy,,Allergy,C40008,Self Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno Baby Calming Comfort,,Soaps,,Baby Toiletries,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Nicorette Freshmint,,,,Smoking Cessation,C40008,Self Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Carefree Aloe,,Liners,,FemCare,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Neutrogena MoistureShine,,Lip Moisturising,,Lip Moisturising,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Piz Buin Mountain,,Sun Protection,,Sun Care,C40008,Skin Care,
